Date,BP,JNUG,TSLA
2015-07-02,5.143875732111014,6.4033512866547015,4.031209362808852
2015-07-06,1.6297428062133745,5.266307600239384,3.9197473527772697
2015-07-07,1.1204481792717047,-10.532615200478745,-0.4644250417982443
2015-07-08,-0.30557677616501744,-16.756433273488923,-5.275868474828139
2015-07-09,-0.35650623885917776,-14.183123877917414,-4.179825376184265
2015-07-10,1.6042780748662944,-14.063435068821061,-3.7154003343859987
2015-07-13,1.7570664629488197,-7.719928186714542,-2.600780234070188
2015-07-14,2.699261522790941,-10.77199281867145,-1.3003901170350662
2015-07-15,1.9607843137255054,-15.499700777977255,-2.229240200631577
2015-07-16,0.6875477463712976,-16.63674446439257,-0.9102730819245397
2015-07-17,-0.3819709702062468,-27.2292040694195,2.043470183912355
2015-07-20,-1.324166030048357,-52.363853979652895,4.8671744380457405
2015-07-21,-1.3750954927425396,-47.93536804308797,-0.891696080252613
2015-07-22,-3.463203463203446,-49.37163375224416,-0.48300204347014875
2015-07-23,-5.016552075375591,-54.578096947935364,-0.7245030652052509
2015-07-24,-6.875477463712743,-46.85816876122082,-1.393275125394744
2015-07-27,-8.199643493761133,-52.42369838420107,-6.000371540033411
2015-07-28,-5.042016806722671,-49.13225613405147,-1.6161991454578972
2015-07-29,-4.787369493251825,-46.02034709754638,-1.9877391788965082
2015-07-30,-4.048892284186378,-51.466187911430275,-0.8731190785806864
2015-07-31,-5.8568882098293695,-48.713345302214236,-1.1146201003157885
2015-08-03,-7.104660045836509,-53.3213644524237,-3.39959130596319
2015-08-04,-6.951871657753994,-52.004787552363865,-1.0588890952999863
2015-08-05,-8.658008658008642,-55.35607420706163,0.3715400334386443
2015-08-06,-8.63254392666154,-52.00478755236385,-8.54542076908783
2015-08-07,-9.141838553603232,-52.8426092160383,-9.90154189113872
2015-08-10,-7.613954672778178,-44.643925792938354,-10.40312093628084
2015-08-11,-8.199643493761123,-39.37761819269898,-11.814973063347534
2015-08-12,-7.20651897122484,-24.59605026929983,-11.517741036596652
2015-08-13,-8.53068500127322,-38.06104129263915,-9.901541891138733
2015-08-14,-8.912655971479477,-38.47995212447638,-9.66004086940363
2015-08-17,-9.523809523809511,-33.9317773788151,-5.257291473156189
2015-08-18,-10.236822001527878,-38.83901855176543,-3.139513282556139
2015-08-19,-11.739241151005853,-32.4955116696589,-5.164406464796533
2015-08-20,-12.452253628724197,-25.433871932974284,-10.013003901170304
2015-08-21,-15.533486121721396,-33.812088569718746,-14.267137284042308
2015-08-24,-20.575502928444088,-49.43147815679235,-18.688463681961675
2015-08-25,-21.79781003310414,-53.50089766606823,-18.242615641835368
2015-08-26,-20.804685510567854,-60.80191502094554,-16.459223481330078
2015-08-27,-15.889992360580585,-53.20167564332736,-9.71577187441942
2015-08-28,-15.304303539597653,-46.19988031119091,-7.67230169050711
2015-08-31,-14.591291061879286,-47.277079593058055,-7.467954672115873
2015-09-01,-18.156353450471073,-52.12447636146022,-11.33197101987735
2015-09-02,-18.00356506238856,-52.902453620586485,-7.969533717257981
2015-09-03,-17.4688057040998,-55.41591861160982,-8.768344789150984
2015-09-04,-21.823274764451206,-54.099341711549975,-10.105888909529948
2015-09-08,-20.015278838808225,-51.94494314781568,-7.802340702210609
2015-09-09,-21.313980137509525,-57.151406343506885,-7.523685677131664
2015-09-10,-20.524573465749896,-57.63016157989229,-7.6723016905070995
2015-09-11,-21.033868092691577,-56.01436265709157,-7.022106631989544
2015-09-14,-21.874204227145366,-54.9970077797726,-5.926063533345671
2015-09-15,-20.779220779220744,-55.29622980251347,-5.796024521642151
2015-09-16,-18.181818181818144,-47.63614602034711,-2.5636262307263014
2015-09-17,-18.232747644512315,-42.07061639736687,-2.63793423741403
2015-09-18,-20.830150241914914,-42.66906044284862,-3.1766672859000034
2015-09-21,-20.906544435956164,-48.11490125673251,-1.8391231655210283
2015-09-22,-22.612681436210803,-53.620586475164586,-3.0466282741964945
2015-09-23,-23.809523809523757,-54.45840813883904,-3.009474270852641
2015-09-24,-23.198370257193734,-47.456612806702594,-2.2478172023035037
2015-09-25,-22.510822510822457,-50.98743267504491,-4.551365409622843
2015-09-28,-25.18461930226631,-57.21125074805508,-7.690878692179048
2015-09-29,-24.548001018589204,-56.97187312986238,-8.35965075236853
2015-09-30,-22.17978100331036,-54.99700777977262,-7.709455693850975
2015-10-01,-21.16119174942699,-57.773788150807924,-10.867545978079107
2015-10-02,-17.188693659281828,-49.515260323159815,-8.025264722273784
2015-10-05,-14.718614718614663,-46.846199880311225,-8.54542076908783
2015-10-06,-12.630506748153758,-42.60921603830046,-10.291658926249259
2015-10-07,-9.065444359561958,-42.52543387193302,-13.82128924391598
2015-10-08,-8.428826075884842,-45.8767205266308,-15.771874419468645
2015-10-09,-8.428826075884842,-37.84560143626577,-18.001114620100267
2015-10-12,-9.931245225362828,-39.772591262716986,-19.895968790637152
2015-10-13,-11.560988031576224,-41.08916816277682,-18.53984766858624
2015-10-14,-10.058568882098252,-28.1029323758229,-19.41296674716696
2015-10-15,-9.14183855360321,-27.109515260323203,-17.778190600037114
2015-10-16,-8.6834733893557,-34.36265709156198,-15.660412409437075
2015-10-19,-11.026228673287463,-43.27947336924001,-15.25171837265461
2015-10-20,-10.949834479246212,-36.81627767803713,-20.84339587590559
2015-10-21,-10.51693404634577,-41.55595451825257,-21.939438974549464
2015-10-22,-8.530685001273197,-40.49072411729506,-21.3449749210477
2015-10-23,-9.039979628214889,-35.24835427887496,-22.310979007988074
2015-10-26,-10.746116628469537,-40.071813285457836,-20.026007802340672
2015-10-27,-11.331805449452471,-41.01735487731899,-21.84655396618982
2015-10-28,-8.989050165520718,-43.494913225613416,-20.880549879249443
2015-10-29,-9.065444359561969,-51.40634350688211,-21.363551922719637
2015-10-30,-9.090909090909049,-52.327947336924005,-23.109790079881066
2015-11-02,-7.613954672778167,-52.20825852782765,-20.564740850826634
2015-11-03,-5.194805194805163,-52.579293836026345,-22.589634033067018
2015-11-04,-7.410236822001492,-54.757630161579904,-13.932751253947561
2015-11-05,-9.472880061115319,-57.51047277079594,-13.895597250603696
2015-11-06,-10.542398777692853,-62.66906044284861,-13.672673230540532
2015-11-09,-11.179017061369956,-60.04787552363855,-16.273453464610753
2015-11-10,-11.459129106187882,-62.286056253740284,-19.561582760542397
2015-11-11,-12.426788897377094,-60.849790544584096,-18.59557867360202
2015-11-12,-14.693149987267596,-61.687612208258535,-20.880549879249422
2015-11-13,-14.998726763432602,-60.766008378216654,-23.0169050715214
2015-11-16,-12.197606315253351,-59.96409335727111,-20.378970834107314
2015-11-17,-12.961548255665868,-64.83542788749254,-20.490432844138894
2015-11-18,-10.618792971734104,-62.98025134649912,-17.871075608396737
2015-11-19,-10.236822001527845,-59.82046678635551,-17.592420583317793
2015-11-20,-12.324929971988752,-63.87791741472175,-18.261192643507272
2015-11-23,-12.350394703335832,-64.71573907839618,-19.09715771874413
2015-11-24,-10.898905016552018,-62.22621184919211,-18.91138770202483
2015-11-25,-10.898905016552018,-62.022740873728324,-14.67583132082475
2015-11-27,-11.306340718105378,-64.3087971274686,-13.951328255619478
2015-11-30,-11.89202953908831,-63.315380011968905,-14.452907300761597
2015-12-01,-11.45912910618787,-60.825852782764834,-11.870704068363313
2015-12-02,-13.878278584160885,-63.38719329742671,-13.802712242244041
2015-12-03,-15.304303539597619,-60.92160383004192,-13.542634218837012
2015-12-04,-16.80672268907558,-56.31358467983246,-14.397176295745806
2015-12-07,-20.39724980901446,-61.01735487731899,-14.11852127066686
2015-12-08,-20.371785077667383,-61.699581089168184,-15.771874419468634
2015-12-09,-18.99668958492483,-60.16756433273491,-16.589262493033573
2015-12-10,-19.022154316271912,-60.730101735487764,-15.641835407765136
2015-12-11,-21.59409218232743,-59.880311190903676,-19.375812743823097
2015-12-14,-23.04558186911123,-64.14123279473371,-18.78134869032133
2015-12-15,-21.69595110771576,-63.69838420107723,-17.852498606724822
2015-12-16,-21.390374331550742,-58.74326750448837,-12.873862158647542
2015-12-17,-22.714540361599123,-65.21843207660086,-13.282556195430006
2015-12-18,-23.223834988540816,-62.66906044284863,-14.37859929407388
2015-12-21,-23.274764451234986,-61.23279473369243,-13.598365223852815
2015-12-22,-21.59409218232742,-61.627767803710384,-14.564369310793168
2015-12-23,-17.621594092182256,-60.29922202274092,-14.657254319152823
2015-12-24,-18.2072829131652,-57.16337522441657,-14.341445290730015
2015-12-28,-19.251336898395653,-61.38839018551769,-14.93590934423178
2015-12-29,-18.843901196842317,-60.047875523638574,-11.870704068363302
2015-12-30,-20.269926152279048,-62.968282465589496,-11.536318038268556
2015-12-31,-20.39724980901446,-62.836624775583516,-10.83039197473521
2016-01-04,-20.906544435956153,-59.4015559545183,-16.997956529816026
2016-01-05,-21.23758594346825,-59.018551765409974,-16.9793795281441
2016-01-06,-22.841864018334558,-56.99581089168168,-18.614155675273945
2016-01-07,-25.057295645530896,-54.03949730700185,-19.87739178896519
2016-01-08,-26.381461675579278,-57.85757031717539,-21.605052944454695
2016-01-11,-26.559714795008873,-62.53740275284265,-22.775404049786296
2016-01-12,-27.043544690603472,-65.52962298025139,-21.995169979565233
2016-01-13,-26.737967914438453,-65.93656493117898,-25.580531302247756
2016-01-14,-21.492233256939098,-69.51526032315982,-23.388445104959988
2016-01-15,-25.744843391902172,-70.12567324955121,-23.834293145086317
2016-01-19,-26.355996944232196,-74.38659485338124,-23.945755155117897
2016-01-20,-27.527374586198082,-72.91442250149615,-26.17499535574951
2016-01-21,-24.980901451489647,-72.69898264512271,-25.710570313951266
2016-01-22,-22.714540361599145,-71.81328545780973,-24.7445662270109
2016-01-25,-24.955436720142576,-70.47277079593061,-27.029537432658312
2016-01-26,-21.721415839062864,-66.48713345302218,-28.088426527958333
2016-01-27,-21.874204227145366,-64.6439257929384,-30.131896711870652
2016-01-28,-18.792971734148168,-66.8342309994016,-29.518855656696964
2016-01-29,-17.57066462948812,-64.87133453022147,-28.96154560653904
2016-02-01,-19.276801629742756,-61.80730101735492,-26.825190414267077
2016-02-02,-26.10134963076135,-64.38061041292643,-32.082481887423306
2016-02-03,-24.471606824547955,-59.28186714542195,-35.53780419840232
2016-02-04,-22.05245734657495,-55.30819868342316,-34.850455136540916
2016-02-05,-22.434428316781208,-48.733692399760685,-39.5875905628831
2016-02-08,-23.809523809523757,-42.19030520646327,-45.01207505108671
2016-02-09,-26.279602750190946,-49.5631358467984,-44.91919004272707
2016-02-10,-28.596893302775616,-47.492519449431555,-46.62827419654464
2016-02-11,-29.61548255665899,-33.75224416517065,-44.10180196916214
2016-02-12,-26.101349630761362,-26.439257929383707,-43.87887794909897
2016-02-16,-25.99949070537302,-45.170556552962374,-42.355563812000696
2016-02-17,-23.733129615482518,-38.28845002992228,-37.32119635890761
2016-02-18,-24.166030048382947,-24.52423698384211,-38.0456994241129
2016-02-19,-24.2424242424242,-31.382405745062936,-38.10143042912869
2016-02-22,-22.84186401833457,-34.45840813883911,-33.958759056288265
2016-02-23,-26.152279093455533,-32.10053859964104,-34.1631060746795
2016-02-24,-27.32365673542141,-27.61220825852795,-33.494334014490015
2016-02-25,-27.01807995925639,-22.8007181328547,-30.354820731933795
2016-02-26,-26.152279093455522,-30.36505086774398,-29.27735463496185
2016-02-29,-25.923096511331767,-21.962896469180247,-28.682890581460086
2016-03-01,-24.548001018589204,-30.125673249551276,-30.76351476871626
2016-03-02,-23.071046600458324,-24.52423698384212,-30.02043470183906
2016-03-03,-21.390374331550753,-10.137642130460932,-27.27103845439339
2016-03-04,-20.677361853832398,-11.968880909635072,-25.301876277168777
2016-03-07,-19.78609625668445,-0.4308797127469899,-23.72283113505471
2016-03-08,-23.42755283931751,-14.542190305206582,-24.72598922533894
2016-03-09,-22.84186401833457,-15.73907839617007,-22.459595021363466
2016-03-10,-24.038706391647537,-5.62537402752854,-23.759985138398577
2016-03-11,-22.205245734657463,-14.290843806104226,-22.905443061489784
2016-03-14,-23.73312961548253,-23.147815679234075,-20.06316180568446
2016-03-15,-24.522536287242136,-20.98144823459015,-18.874233698680932
2016-03-16,-22.307104660045795,-2.202274087372935,-17.536689578301957
